统计日期,平台,子平台,产品名称,销售数量,销售金额
2026-08-28,抖音,抖音,（抽奖版）45克无脆皮香草籽支棒（1*20）,12,34.2
2026-08-28,抖音,抖音,八喜45克八合一V2（1*8）,20,376
2026-08-28,抖音,抖音,八喜白桃乌龙冰淇淋（550克*6）,18,277.74
2026-08-28,抖音,抖音,八喜饼干口味冰淇淋（550克*6）,22,339.46
2026-08-28,抖音,抖音,八喜草莓口味冰淇淋（1.1公斤*4）,35,1089.2
2026-08-28,抖音,抖音,八喜草莓口味冰淇淋（550克*6）,19,293.17
2026-08-28,抖音,抖音,八喜地球双色冰淇淋-抹茶海盐（550克*6）,6,92.58
2026-08-28,抖音,抖音,八喜火星双色冰淇淋-可可红茶（550克*6）,5,77.15
2026-08-28,抖音,抖音,八喜朗姆口味冰淇淋（1.1公斤*4）,69,2147.28
2026-08-28,抖音,抖音,八喜朗姆口味冰淇淋（550克*6）,30,462.9
2026-08-28,抖音,抖音,八喜绿茶口味冰淇淋（1.1公斤*4）,34,1058.08
2026-08-28,抖音,抖音,八喜绿茶口味冰淇淋（550克*6）,31,478.33
2026-08-28,抖音,抖音,八喜芒果口味冰淇淋（1.1公斤*4）,21,653.52
2026-08-28,抖音,抖音,八喜芒果口味冰淇淋（550克*6）,16,246.88
2026-08-28,抖音,抖音,八喜木星双色冰淇淋-生椰拿铁（550克*6）,5,77.15
2026-08-28,抖音,抖音,八喜巧克力口味冰淇淋（1.1公斤*4）,106,3298.72
2026-08-28,抖音,抖音,八喜巧克力口味冰淇淋（550克*6）,47,725.21
2026-08-28,抖音,抖音,八喜巧克力榛子甜筒冰淇淋单只装（68克*24）,12,25.92
2026-08-28,抖音,抖音,八喜青提雪芭（65克*24）,4,8.92
2026-08-28,抖音,抖音,八喜柿子口味冰淇淋（90克*24）,25,88.75
2026-08-28,抖音,抖音,八喜树莓蔓越莓雪芭（65克*24）,3,6.69
2026-08-28,抖音,抖音,八喜甜橙青柠雪芭（65克*24）,2,4.46
2026-08-28,抖音,抖音,八喜香草口味冰淇淋（1.1公斤*4）,39,1213.68
2026-08-28,抖音,抖音,八喜香草口味冰淇淋（550克*6）,35,540.05
2026-08-28,抖音,抖音,八喜香草曲奇口味冰淇淋（1.1公斤*4）,72,2240.64
2026-08-28,抖音,抖音,八喜赠品挖球勺,5,0
2026-08-28,抖音,抖音,草莓口味冰淇淋（60克*24）,24,53.28
2026-08-28,抖音,抖音,脆芯开心果牛乳慕斯冰淇淋80g（1*24）,12,46.8
2026-08-28,抖音,抖音,朗姆口味冰淇淋（60克*24）,24,53.28
2026-08-28,抖音,抖音,绿茶口味冰淇淋（60克*24）,24,53.28
2026-08-28,抖音,抖音,芒果口味冰淇淋（60克*24）,24,53.28
2026-08-28,抖音,抖音,巧克力口味冰淇淋（60克*24）,75,166.5
2026-08-28,抖音,抖音,香草口味冰淇淋（60克*24）,27,59.94
2026-08-28,抖音,抖音,珍品65克（1*6）,6,100.62
2026-08-28,京东,京东POP,八喜45克八合一V2（1*8）,3,56.4
2026-08-28,京东,京东POP,八喜草莓（90克*24）（追溯）,3,10.65
2026-08-28,京东,京东POP,八喜绿茶口味冰淇淋（90克*24）,3,10.65
2026-08-28,京东,京东POP,八喜芒果口味冰淇淋（90克*24）,3,10.65
2026-08-28,京东,京东POP,八喜青提雪芭（65克*24）,51,113.73
2026-08-28,京东,京东POP,八喜甜橙青柠雪芭（65克*24）,46,102.58
2026-08-28,京东,京东POP,八喜香草（90克*24）（追溯）,3,10.65
2026-08-28,京东,京东POP,八喜珍品马达加斯加香草冰淇淋（65克*24）,74,182.78
2026-08-28,京东,京东POP,草莓口味冰淇淋（60克*24）,64,142.08
2026-08-28,京东,京东POP,朗姆口味冰淇淋（60克*24）,71,157.62
2026-08-28,京东,京东POP,绿茶口味冰淇淋（60克*24）,49,108.78
2026-08-28,京东,京东POP,芒果口味冰淇淋（60克*24）,47,104.34
2026-08-28,京东,京东POP,巧克力口味冰淇淋（60克*24）,109,241.98
2026-08-28,京东,京东POP,香草口味冰淇淋（60克*24）,92,204.24
2026-08-28,拼多多,拼多多,八喜60g6合1（追溯）,3,45.42
2026-08-28,拼多多,拼多多,八喜草莓口味冰淇淋（283克*6）,4,35.12
2026-08-28,拼多多,拼多多,八喜朗姆口味冰淇淋（283克*6）,9,79.02
2026-08-28,拼多多,拼多多,八喜绿茶口味冰淇淋（283克*6）,2,17.56
2026-08-28,拼多多,拼多多,八喜绿茶口味冰淇淋（550克*6）,1,15.43
2026-08-28,拼多多,拼多多,八喜芒果口味冰淇淋（283克*6）,4,35.12
2026-08-28,拼多多,拼多多,八喜芒果口味冰淇淋（550克*6）,1,15.43
2026-08-28,拼多多,拼多多,八喜巧克力口味冰淇淋（283克*6）,5,43.9
2026-08-28,拼多多,拼多多,八喜巧克力口味冰淇淋（550克*6）,1,15.43
2026-08-28,拼多多,拼多多,八喜香草口味冰淇淋（283克*6）,12,105.36
2026-08-28,拼多多,拼多多,八喜香草口味冰淇淋（550克*6）,1,15.43
2026-08-28,其他,其他,（抽奖版）45克无脆皮草莓支棒（1*20）,19,54.15
2026-08-28,其他,其他,（抽奖版）45克无脆皮哈密瓜支棒（1*20）,19,54.15
2026-08-28,其他,其他,（抽奖版）45克无脆皮可可支棒（1*20）,49,139.65
2026-08-28,其他,其他,（抽奖版）45克无脆皮香草籽支棒（1*20）,49,139.65
2026-08-28,其他,其他,八喜0蔗糖巧克力口味冰淇（90克*24）,3,10.65
2026-08-28,其他,其他,八喜0蔗糖香草口味冰淇（90克*24）,3,10.65
2026-08-28,其他,其他,八喜0蔗糖椰子牛奶口味冰淇（90克*24）,3,10.65
2026-08-28,其他,其他,八喜45克八合一V2（1*8）,24,451.2
2026-08-28,其他,其他,八喜60g6合1（追溯）,4,60.56
2026-08-28,其他,其他,八喜90g混合杯(1*3)-梦与星河,6,63.9
2026-08-28,其他,其他,八喜白桃乌龙冰淇淋（550克*6）,1,15.43
2026-08-28,其他,其他,八喜棒(70g)-0蔗糖香草（1*4)(8盒/箱）,5,84.8
2026-08-28,其他,其他,八喜饼干口味冰淇淋（550克*6）,1,15.43
2026-08-28,其他,其他,八喜朗姆口味冰淇淋（1.1公斤*4）,1,31.12
2026-08-28,其他,其他,八喜朗姆口味冰淇淋（550克*6）,1,15.43
2026-08-28,其他,其他,八喜巧克力口味冰淇淋（550克*6）,5,77.15
2026-08-28,其他,其他,八喜巧克力榛子甜筒冰淇淋单只装（68克*24）,50,108
2026-08-28,其他,其他,八喜巧克力榛子甜筒冰淇淋组合装(1*5),2,22.96
2026-08-28,其他,其他,八喜青提雪芭（65克*24）,11,24.53
2026-08-28,其他,其他,八喜轻卡75g（1*4）,7,90.37
2026-08-28,其他,其他,八喜树莓蔓越莓雪芭（65克*24）,8,17.84
2026-08-28,其他,其他,八喜甜橙青柠雪芭（65克*24）,10,22.3
2026-08-28,其他,其他,八喜香草口味冰淇淋（1.1公斤*4）,1,31.12
2026-08-28,其他,其他,八喜香草甜筒冰淇淋组合装(1*5),1,11.48
2026-08-28,其他,其他,八喜珍品比利时巧克力冰淇淋（65克*24）,17,41.99
2026-08-28,其他,其他,八喜珍品哥伦比亚咖啡冰淇淋（65克*24）,26,64.22
2026-08-28,其他,其他,八喜珍品马达加斯加香草冰淇淋（65克*24）,29,71.63
2026-08-28,其他,其他,黑巧脆脆香草迷你冰淇淋6支装（1*8盒）,14,256.62
2026-08-28,其他,其他,慕斯冰淇淋80g四合一（1*6）,7,100.66
2026-08-28,其他,其他,珍品65克（1*6）,3,50.31
2026-08-28,天猫,猫超,八喜60g6合1（追溯）,7,105.98
2026-08-28,天猫,猫超,八喜饼干口味冰淇淋（550克*6）,8,123.44
2026-08-28,天猫,猫超,八喜草莓口味冰淇淋（1.1公斤*4）,7,217.84
2026-08-28,天猫,猫超,八喜草莓口味冰淇淋（283克*6）,3,26.34
2026-08-28,天猫,猫超,八喜草莓口味冰淇淋（550克*6）,2,30.86
2026-08-28,天猫,猫超,八喜朗姆口味冰淇淋（1.1公斤*4）,7,217.84
2026-08-28,天猫,猫超,八喜朗姆口味冰淇淋（283克*6）,3,26.34
2026-08-28,天猫,猫超,八喜朗姆口味冰淇淋（550克*6）,6,92.58
2026-08-28,天猫,猫超,八喜绿茶口味冰淇淋（1.1公斤*4）,8,248.96
2026-08-28,天猫,猫超,八喜绿茶口味冰淇淋（283克*6）,2,17.56
2026-08-28,天猫,猫超,八喜绿茶口味冰淇淋（550克*6）,1,15.43
2026-08-28,天猫,猫超,八喜芒果口味冰淇淋（1.1公斤*4）,2,62.24
2026-08-28,天猫,猫超,八喜芒果口味冰淇淋（283克*6）,2,17.56
2026-08-28,天猫,猫超,八喜芒果口味冰淇淋（550克*6）,2,30.86
2026-08-28,天猫,猫超,八喜巧克力口味冰淇淋（1.1公斤*4）,20,622.4
2026-08-28,天猫,猫超,八喜巧克力口味冰淇淋（283克*6）,3,26.34
2026-08-28,天猫,猫超,八喜巧克力口味冰淇淋（550克*6）,6,92.58
2026-08-28,天猫,猫超,八喜巧克力榛子甜筒冰淇淋单只装（68克*24）,18,38.88
2026-08-28,天猫,猫超,八喜青提雪芭（65克*24）,26,57.98
2026-08-28,天猫,猫超,八喜树莓蔓越莓雪芭（65克*24）,21,46.83
2026-08-28,天猫,猫超,八喜甜橙青柠雪芭（65克*24）,25,55.75
2026-08-28,天猫,猫超,八喜香草口味冰淇淋（1.1公斤*4）,4,124.48
2026-08-28,天猫,猫超,八喜香草口味冰淇淋（283克*6）,3,26.34
2026-08-28,天猫,猫超,八喜香草口味冰淇淋（550克*6）,2,30.86
2026-08-28,天猫,猫超,八喜香草曲奇口味冰淇淋（1.1公斤*4）,8,248.96
2026-08-28,天猫,猫超,八喜香草甜筒冰淇淋单只装（68克*24）,18,38.88
2026-08-28,天猫,猫超,八喜珍品比利时巧克力冰淇淋（65克*24）,3,7.41
2026-08-28,天猫,猫超,八喜珍品哥伦比亚咖啡冰淇淋（65克*24）,6,14.82
2026-08-28,天猫,猫超,八喜珍品马达加斯加香草冰淇淋（65克*24）,9,22.23
2026-08-28,天猫,猫超,草莓口味冰淇淋（60克*24）,7,15.54
