统计日期,平台,子平台,产品名称,销售数量,销售金额
2026-7-19,京东,京东POP,250S极致娟姗纯牛奶250mL*12,18,392.3658
2026-7-19,京东,京东POP,250S极致有机纯牛奶250mL*12,6,144.7548
2026-7-19,京东,京东POP,250ml方巧(1*24),21,673.3125
2026-7-19,京东,京东POP,250ml舒释奶（全脂)(1*12),37,735.8819
2026-7-19,京东,京东POP,三元3.3g全脂纯牛奶无菌砖（200ml*24）卡皮巴拉,181,5182.7178
2026-7-19,京东,京东POP,三元3.3g方白纯牛奶（250mL*24）,498,15303.5898
2026-7-19,京东,京东POP,三元3.3g方白脱脂无菌砖(250ml*24),82,2239.8792
2026-7-19,京东,京东POP,三元北京纯牛奶低脂（250mL*10）,2,37.027
2026-7-19,京东,京东POP,三元北京纯牛奶全脂（250mL*10）,703,13003.9534
2026-7-19,京东,京东POP,三元纯牛奶足球礼盒（250ml*12）,2,42.42
2026-7-19,京东,京东POP,体验装 200M单盒,12,14.43325
2026-7-19,京东,京东POP,体验装 极全单盒,3,5.083275
2026-7-19,京东,京东POP,常温版极致三代全脂纯牛奶,16,347.2624
2026-7-19,京东,京东POP,极小智有机A2纯牛奶200mL*10,73,1349.1349
2026-7-19,京东,京东POP,极致A2精巧装200ml*10,212,3306.9244
2026-7-19,京东,京东POP,极致三代低脂纯牛奶（250ml*12）,33,717.5025
2026-7-19,京东,京东POP,极致高品质全脂纯牛奶（250ml*16）,501,13582.5108
2026-7-19,京东,京东POP,梦幻盖极致A2纯牛奶250ml*12,12,379.5504
2026-7-19,京东,京东POP,梦幻盖极致有机纯牛奶（250ml*12）,31,822.7679
2026-7-19,京东,京东POP,简卡原味钻酸奶200g*10,6,132.0222
2026-7-19,京东,京东POP,钻石装极致有机纯牛奶（200ml*10）,65,1328.6845
2026-7-19,天猫,猫旗,250S极致娟姗纯牛奶250mL*12,17,370.5677
2026-7-19,天猫,猫旗,250S极致有机纯牛奶250mL*12,8,193.0064
2026-7-19,天猫,猫旗,250ml方巧(1*24),123,3943.6875
2026-7-19,天猫,猫旗,250ml舒释奶（全脂)(1*12),2,39.7774
